Country,Alcoholic Beverages,Animal Products,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar Crops,Sugar & Sweeteners,Treenuts,Vegetal Products,Vegetable Oils,Vegetables,Miscellaneous,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,Unit (all except Population)
Kyrgyzstan,0.0469,20.2308,0.0996,0,21.0511,0.7441,0.1992,0.2344,6.7378,11.3136,1.1425,0.041,1.992,0.0586,2.408,0.3515,0,0,0.3222,29.7633,0.0059,3.158,0.0996,15.4,7.1,0.845465575,0.017197452,0.72211101,0.106157113,6594000,%
Lao People's Democratic Republic,0.0541,12.0786,0.1082,0,25.5153,0.3365,4.531,1.971,5.9912,0.2644,0.8473,1.8629,0.9555,0.4086,0.5408,1.941,0.0541,0,0.012,37.9184,0.006,4.4408,0.1622,4.5,16.5,0.0003314,0,0.000303783,2.76E-05,7242000,%
Latvia,0.6062,28.578,0.7346,0,14.2299,1.8802,3.9608,0.4623,10.7367,10.449,0.8168,0.3493,0.0205,0.036,2.7689,0.6627,0,0.0051,0.3134,21.4168,0.0257,1.8031,0.1438,25.7,2.5,0.24595163,0.002944269,0.071345952,0.171661409,1902000,%
Lebanon,0.0517,15.0004,0.0443,0,23.269,0.4581,1.6922,1.2266,6.9608,5.4607,0.3769,1.2636,2.8671,0.0961,0.9754,0.7389,0,0,1.2414,35.0107,0.0148,2.9705,0.2808,31.3,11,1.046007326,0.008278388,0.509934066,0.527794872,6825000,%
Lesotho,0.2653,9.5357,0.0078,0,32.4932,0.2107,0.4292,0.1795,5.9227,1.7948,1.1705,0.3043,4.1826,0.2107,1.9586,0.0624,0,0,0.0078,40.4682,0,0.7101,0.0858,13.5,13.1,0.090569561,0.00200747,0.045284781,0.043277311,2142000,%
Liberia,0.0752,12.2556,0.0251,0,28.6591,0.4386,2.0677,1.2406,8.3208,0.3258,1.0902,1.6416,0.5639,0,3.8722,0.0501,0.0627,0,0.1504,37.7318,0.0125,1.2406,0.1754,8.6,37.2,0.02754053,0.001621194,0.025266904,0.000652432,5058000,%
Lithuania,0.5273,30.7649,0.2077,0,12.858,1.7655,3.9345,0.3915,11.2483,13.0577,0.5512,0.3435,2.2808,0.1758,0.8588,0.4194,0,0.004,0.2317,19.2371,0.02,1.0785,0.0439,28.4,2.5,0.364495347,0.004795991,0.145776664,0.213922691,2794000,%
Luxembourg,0.594,31.7713,0.2452,0.0047,10.4804,2.3148,3.9602,0.7732,14.1577,10.6124,0.4762,0.3253,0.2357,0.165,0.8486,2.5364,0,0.0047,0.0471,18.2264,0.0189,1.8717,0.33,24.2,2.5,2.033386076,0.022310127,1.4375,0.573575949,632000,%
Madagascar,0.0931,10.7114,0.0349,0,31.1678,0.2212,1.7813,0.8849,5.3906,2.3169,0.978,0.1746,2.1423,0.1281,3.4696,0.3842,0.0466,0,0.0466,39.2828,0,0.7219,0.0233,4.5,44.4,0.061276227,0.000881153,0.058867502,0.001527572,27691000,%
Malawi,0.1544,8.4246,0.0956,0,23.98,0.2352,2.0731,1.4335,4.9548,0.2646,0.8013,3.2713,6.6676,0.0441,4.7048,0.0809,0,0,0.0368,41.5717,0,1.1836,0.0221,4.7,17.5,0.030789336,0.000956613,0.027658129,0.002174595,19130000,%
Malaysia,0.0824,27.3712,0.0634,0.0127,16.6065,3.5735,10.562,0.4055,11.3603,1.527,0.2724,0.6273,1.0518,0.9314,0.3738,0.1901,0,0,0.1457,22.6256,0.0063,1.7741,0.4372,15.3,2.5,0.081037796,0.000698575,0.052268082,0.028071139,32781000,%
Maldives,0.0367,30.0398,0.0612,0,13.4537,2.1107,18.0789,0.6363,4.9373,4.8394,0.0061,0.3793,0.312,0.6608,0.4283,0.52,0.0245,0.0061,1.0523,19.9633,0.0061,1.762,0.6852,7.9,10.3,2.126617375,0.006839187,1.945286506,0.174491682,541000,%
Mali,0.2414,13.6564,0.0177,0,27.6544,0.1178,1.325,0.4534,5.6063,5.6769,0.9069,1.2131,3.5923,0.1354,0.7479,0.1237,0,0.0059,0.3651,36.3465,0,1.7667,0.0471,7.1,6.3,0.017233717,0.00065182,0.013140092,0.003441805,20251000,%
Malta,0.2579,28.7765,0.0688,0,13.735,1.6073,3.6271,0.5845,13.9886,9.1968,0.2836,0.5802,1.0314,0.0774,0.7005,0.6188,0,0,0.3696,21.2257,0.0215,3.1501,0.0988,31,2.5,1.053256705,0.009770115,0.683333333,0.360153257,522000,%
Mauritania,0,18.4403,0.0188,0,25.3429,0.451,1.6348,0.2318,7.2346,7.9737,1.1275,0.3257,3.8334,0.0125,0.238,0.5951,0,0,0,31.5565,0.0063,0.8331,0.1441,11.3,10.4,0.164817204,0.003505376,0.158817204,0.002494624,4650000,%
Mauritius,0.2315,21.8521,0.0508,0.0056,20.5138,1.0277,4.122,0.3614,10.5364,5.7538,0.3444,0.7849,3.2693,0.367,0.4404,0.3783,0,0,0.1016,28.1536,0.0169,1.3326,0.3557,11.5,6.5,0.034387352,0.000790514,0.030513834,0.003083004,1265000,%
Mexico,0.2784,23.4422,0.0107,0.0161,19.3737,2.8587,2.3287,0.9047,11.1188,5.6906,1.4186,0.6906,3.1103,0.3533,0.3051,0.0803,0,0.0428,0.1445,26.5578,0.0214,1.2473,0.0054,28.4,3.6,0.697351947,0.069584951,0.588996964,0.038770033,127792000,%
Mongolia,0.2367,34.0697,0.1092,0,13.0902,0.7768,0.1032,0.085,19.8082,9.7706,3.5016,0.091,0.1456,0.0061,0.8011,0.4005,0,0,0.0243,15.9303,0.0182,0.8618,0.1699,19.6,13.4,0.010086284,0,0.009282952,0.000803332,3361000,%
Montenegro,0.1588,30.3005,0.0882,0,13.7184,1.5576,1.6591,0.9134,11.5386,14.9495,0.5074,0.3221,1.2399,0.0529,0.5074,0.8207,0,0.0044,0.2647,19.6973,0.0176,1.3502,0.3309,24.9,2.5,2.700482315,0.042765273,2.053858521,0.603858521,622000,%
Morocco,0.0204,13.9914,0.0255,0,29.9052,0.9892,3.248,0.8464,6.5725,2.5342,0.6272,0.0816,1.5552,0.3161,0.9994,0.3518,0,0,0.4844,36.0086,0.0051,1.4175,0.0204,25.6,3.4,0.549290721,0.009181687,0.453924677,0.086184357,35952000,%
Mozambique,0.1562,8.7767,0,0,24.9634,0.5467,3.251,0.576,3.0265,1.562,0.4003,0.6248,7.654,0.0098,5.7796,0.2831,0,0,0.2343,41.2184,0,0.8591,0.0781,6,27.9,0.038458577,0.000275942,0.029689405,0.00849323,31166000,%
Myanmar,0.0161,23.9286,0.0911,0,16.0006,0.8517,8.7797,0.4018,10.2743,3.2248,0.6964,1.6285,4.5961,0.4339,0.2786,0.3107,0,0.2625,0.2464,26.0767,0,1.8213,0.0804,5.7,10.6,0,0,0,0,54704000,%
Namibia,0.386,18.3127,0.0483,0.008,19.5191,0.3217,2.7586,0.4343,9.6107,4.6244,0.941,0.4745,4.1338,0.3458,5.0828,0.2493,0,0,0.0402,31.6873,0.0241,0.764,0.2332,15,27.3,0.498229044,0.00523416,0.42420307,0.068791814,2541000,%
Nepal,0.0407,8.5877,0.0271,0,28.0559,0.3934,0.5698,0.6105,3.1407,3.7648,0.6919,0.1628,5.0943,1.1328,2.4556,0.1018,0.0814,0.0068,0.156,41.4055,0.0068,3.4866,0.0271,3.8,8.7,0.527033604,0.00282371,0.372282971,0.151926924,29996000,%
Netherlands,0.3823,32.7073,0.0573,0.0048,10.9008,2.1075,3.264,0.9319,13.3333,13.7921,0.1481,0.1864,0.4731,0.1625,1.6487,0.3393,0,0.0048,0.5926,17.2903,0.043,1.6296,0,23.1,2.5,1.703017118,0.04069388,0.032169233,1.630154005,17467000,%
New Caledonia,0.3262,29.179,0.1873,0.0181,13.6531,1.6915,3.9207,0.6585,15.3749,7.2857,0.7008,1.2143,0.5739,0.0967,0.7431,0.4591,0,0,0.1087,20.824,0.0362,1.764,1.1841,0,7.1,0,0,0,0,295000,%
New Zealand,0.3023,28.5384,0.1539,0.0165,14.1043,1.6765,3.6498,0.6651,18.0949,4.4303,0.5222,1.2917,1.1983,0.1154,1.1763,0.3463,0.0055,0.0055,0.5497,21.4533,0.011,1.693,0,32,2.5,0.038901143,0.000501303,0.036915982,0.001483858,4987000,%
Nicaragua,0.0907,16.6679,0.0302,0,23.8869,1.1188,1.217,0.4158,7.5894,5.9264,0.7786,0.9902,6.1607,0.0076,0.4611,0.0832,0,0,0.0076,33.3359,0.0076,0.8542,0.3704,21.8,17,0.082383263,0.002349909,0.064053972,0.015979381,6596000,%
Niger,0.0061,7.6195,0.0244,0,22.2968,0.0427,0.3602,0.2686,3.1321,3.474,0.5922,4.1028,13.1876,0.1587,0.2625,0.0549,0,0,0,42.3774,0,2.0209,0.0183,4.7,16.5,0.005022944,0.000285254,0.004663277,7.44E-05,24189000,%
Nigeria,0.456,6.3757,0.0089,0,24.4299,0.6349,2.3786,0.7154,2.4323,0.5991,0.3219,3.0135,5.723,0.5097,5.9734,0.0179,0,0,0.2236,43.6287,0,2.5306,0.0268,7.8,13.4,0.030072766,0.000548171,0.027876686,0.001647909,206140000,%
North Macedonia,0.2603,20.409,0.0558,0,17.4032,1.0226,0.9854,0.9173,8.3173,9.0796,0.9482,1.159,1.8903,0.4648,1.6362,0.9049,0,0,0.3967,29.5941,0.0248,4.3694,0.1611,23.9,3.2,1.295865385,0.044182692,0.895528846,0.356153846,2080000,%
Norway,0.3223,29.2815,0.3132,0,11.9831,1.6431,6.7042,0.6763,10.4943,9.7681,0.3586,1.1075,1.6704,0.0545,1.044,1.0894,0,0,0.3677,20.7208,0.1135,1.1983,1.0894,25,2.5,0.332448487,0.005179135,0.220215333,0.107054019,5387000,%
Oman,0.0294,24.7856,0.0294,0,16.4454,1.4155,4.5695,2.4257,9.462,8.6221,0.6872,0.2819,1.439,0.5697,0.6402,0.3759,0,0,0.1762,25.2203,0.0059,2.6724,0.1468,22.9,6.8,2.396180777,0.024909824,2.106471462,0.264799491,4713000,%
Pakistan,0,21.0264,0.0604,0,20.8679,0.7472,0.4151,0.2868,4.483,14.6868,0.634,2.3547,2.9509,0.4075,0.566,0.3019,0.0377,0.0226,0.1057,28.9736,0.1132,0.9358,0.0226,7.8,20.3,0.148729067,0.003050149,0.140796144,0.004882774,220940000,%
Panama,0.4278,26.5459,0.1006,0.0063,16.5629,1.0316,3.1075,0.9058,13.7447,7.3725,1.1889,1.3776,2.0759,0.0315,0.4466,0.3208,0,0.0126,0.1258,23.4447,0.0315,0.6605,0.4781,22.5,10,3.016577166,0.061475601,2.456946066,0.498155498,4283000,%
Paraguay,0.4165,23.353,0.1458,0,15.4044,2.2839,0.8678,0.6178,13.2107,4.665,2.1798,1.201,3.5196,0.0347,1.8813,2.5824,0,0,0.0069,26.6435,0.0069,0.8469,0.1319,19,10.7,0.821419711,0.018042729,0.547691247,0.255685734,7255000,%
Peru,0.2423,18.8205,0.0064,0,18.8078,1.5493,4.6541,0.7013,7.6251,3.4173,1.5684,1.7469,3.685,0.0446,3.634,0.5802,0,0,0.0446,31.1763,0.0128,1.6066,0.0765,19.1,9.7,2.707515842,0.10403668,2.448958079,0.154521082,32824000,%
Philippines,0.1914,20.5089,0.3191,0,23.277,1.0211,6.6369,1.2763,9.6682,1.6273,1.2444,0.694,0.6063,0.0798,0.6142,0.4068,0,0.0319,0.2632,29.4911,0,1.9863,0.0558,6,13.3,0.337675327,0.00636698,0.299354815,0.031953532,109581000,%
Poland,0.7325,26.8833,0.5045,0,16.5268,1.0235,2.6777,0.4657,15.7313,6.8785,0.0728,0.2619,0.5918,0.0534,2.1635,0.3056,0,0,0.1601,23.1142,0.0631,1.79,0,25.6,2.5,0.661196831,0.011566931,0.293523249,0.356106651,38368000,%
Portugal,0.2926,31.7568,0.3581,0,11.8389,1.166,6.7383,0.8385,14.695,7.8606,0.9389,0.1528,0.8472,0.0437,1.2402,0.6201,0,0.0044,0.3275,18.241,0.0393,1.9564,0.0437,23.2,2.5,1.157347635,0.022584105,0.671643101,0.463120429,10255000,%
Republic of Moldova,0.3236,24.3154,0.2052,0,20.4719,1.8388,2.557,0.513,9.9676,9.0285,0.7182,0.1026,0.363,0.0158,1.5784,0.2525,0,0,0.0316,25.6886,0.0158,1.8073,0.2052,20.1,0,2.0227157,0.047666195,1.479207921,0.495841584,3535000,%
Romania,0.5856,24.4846,0.0656,0,17.4756,2.0943,0.7871,0.6559,9.8154,10.9445,0.7777,0.253,0.595,0.417,2.0287,0.417,0,0.0141,0.1921,25.5201,0.0187,2.7314,0.1265,24.5,2.5,1.089589938,0.033215529,0.778239177,0.278135232,19241000,%
Russian Federation,0.3436,27.3905,0.0834,0,16.2085,2.3071,3.2496,0.4123,12.6006,8.1632,0.9817,0.3682,0.7559,0.0344,2.4102,0.3534,0,0.0049,0.0393,22.6095,0.0245,1.615,0.0442,25.7,2.5,1.024753805,0.01763407,0.77200766,0.235112074,146733000,%
Rwanda,0.5486,7.3852,0.0084,0,9.2421,0.0928,2.1185,3.8656,3.0047,1.6796,0.4895,2.0594,18.2478,0.0675,7.6384,0.0506,0,0,0,42.6148,0,0.8693,0.0169,4.8,36.8,0.03911365,0.000262508,0.037291538,0.001559605,12952000,%
Saint Kitts and Nevis,0.3183,32.0169,0.1104,0,10.9516,0.7795,5.177,0.8444,19.6622,5.151,1.1432,0.8639,2.28,0.1884,0.708,0.1234,0,0,0.2079,17.9799,0.0585,0.8574,0.5781,23.1,0,0.035185185,0,0.035185185,0,54000,%
Saint Lucia,0.3355,30.1926,0.0578,0,12.7653,0.5784,5.437,0.7577,18.0172,4.795,1.3072,0.856,2.3367,0.3297,0.6709,0.2082,0,0,0.1504,19.8161,0.0463,0.9312,0.4107,19.8,0,0.02967033,0,0.014835165,0.014835165,182000,%
Saint Vincent and the Grenadines,0.1677,27.105,0.028,0,14.0613,0.738,2.9408,1.3195,17.9582,4.8362,0.6094,0.5591,2.8682,0.3075,1.1741,0.3522,0,0,0.1118,22.8894,0.028,1.4481,0.4976,23.8,5.7,0.065765766,0,0.059459459,0.006306306,111000,%
Samoa,0.1866,30.9096,0.1341,0.1341,8.4665,0.4023,7.3761,1.6968,19.3878,2.793,0.6822,3.5918,0,0.1574,3.586,0.5248,0,0.0058,0.0292,19.0904,0.0058,0.5364,0.3032,45.5,2.7,0,0,0,0,2.00E+05,%
Sao Tome and Principe,0.0672,15.2065,0.0576,0,22.1614,0.1921,8.3285,4.6494,4.9952,1.5178,0.1153,3.1412,2.2094,0.0576,1.6523,0.0288,0,0,0.0096,34.7935,0.0192,0.586,0.2113,10.6,7,0.447619048,0.007142857,0.42952381,0.010952381,210000,%
Saudi Arabia,0,21.1377,0.1371,0,22.5827,1.1194,1.7362,1.2279,11.3199,6.3967,0.4284,0.2741,1.8276,0.4112,0.3141,0.4512,0,0,0.2799,28.8594,0.0057,1.0966,0.3941,35,7.1,0.984204218,0.015113724,0.945549499,0.023540995,35041000,%
Senegal,0.0247,10.7308,0.0165,0,31.8542,0.3877,4.19,0.2309,4.3632,1.0805,0.7011,2.3095,2.095,0.1567,0.6186,0.2062,0,0,0.1485,39.2692,0.0165,1.5589,0.0412,7.4,11.3,0.09287506,0.001917105,0.085129001,0.005828954,16744000,%
Serbia,0.4242,24.2531,0.0545,0,19.2473,1.6847,1.1272,0.8666,10.9024,9.4722,1.006,0.5394,0.9878,0.0667,0.9999,0.5697,0,0.0061,0.2242,25.75,0.0364,1.7575,0.0242,23.5,5.7,0.567572229,0.011384217,0,0.556188012,6957000,%
Sierra Leone,0.0359,11.9253,0,0,24.7486,0.3592,6.5733,0.449,2.694,1.9037,0.3951,2.3527,5.0916,0.1976,2.9813,0.1437,0,0,0.2335,38.0747,0.009,1.7241,0.1078,7.5,25.6,0.029409552,0.000927667,0.022401905,0.00607998,7977000,%
Slovakia,0.7973,29.4291,0.9807,0,12.8688,3.0856,2.1049,0.606,13.8574,8.2842,1.1162,0.9727,0.6697,0.1515,1.7621,0.6618,0,0.0159,0.3189,20.5789,0.0558,1.5468,0.1355,22.4,3.4,0.802691322,0.002911022,0.182350787,0.617429513,5462000,%
Slovenia,0.5488,27.4912,0.6606,0,15.5089,1.5092,1.6515,0.7978,12.7954,9.9853,0.8842,0.4624,0.6301,0.1779,1.1179,0.8689,0,0.0051,0.498,22.5062,0.0356,1.6769,0.188,22.5,2.5,1.091298146,0.011412268,0.400570613,0.679315264,2103000,%
Solomon Islands,0.1398,14.7782,0.0839,0.0186,15.0205,0.3168,9.1129,0.5498,3.9415,1.0622,0.2423,1.9847,5.4603,0.1398,10.9672,0.1677,0,0,0.0839,35.2218,0,0.4752,0.2329,20.5,8.9,0.000559441,0,0.00041958,0.00013986,715000,%
South Africa,0.4676,20.7182,0.006,0,24.8966,1.2409,0.9712,0.2278,13.914,2.9615,1.6246,1.157,0.6235,0.1319,0.7793,0.1679,0,0,0.03,29.2848,0,0.7973,0,27,6.2,1.200556785,0.031810559,1.083668746,0.08507748,59628000,%
Spain,0.4855,31.0583,0.0607,0,11.2506,2.012,5.7607,0.7096,15.2747,7.2732,0.6769,0.6022,1.3631,0.0187,1.1157,0.6396,0,0.0047,0.6302,18.9394,0.014,2.1101,0,27.1,2.5,2.196141493,0.07295476,0.315683846,1.807502887,47635000,%
Sri Lanka,0.0699,14.5498,0,0,23.7396,1.0176,7.4963,0.5438,2.4314,3.2083,0.3884,2.4703,4.4589,1.3284,0.4816,0.6448,0,0,0.1631,35.4541,0,1.5148,0.0388,5.4,9,0.035884579,7.29E-05,0.017336008,0.018475635,21937000,%
Sudan,0,15.5619,0.0147,0,23.8327,0.2578,0.2283,0.9648,5.9434,8.2192,0.9059,1.7823,5.0302,0.0884,0.5082,0.2504,0.0295,0,0,34.4307,0,1.9296,0.0221,7.4,20.1,0.031339369,0.001908823,0.015425665,0.01400488,43849000,%
Suriname,0.2987,20.4911,0.0166,0,20.7234,1.4186,3.924,1.3274,11.2992,3.559,0.2821,1.7007,1.0204,0.0747,0.8794,0.3484,0.0166,0,0.0581,29.5006,0.0249,2.4224,0.6139,26.5,8.5,0.854545455,0.018016529,0.831735537,0.004793388,605000,%
Sweden,0.3591,31.5441,0.527,0,12.2651,1.9867,3.9873,0.5829,13.3004,11.7101,0.028,0.5363,0.499,0.1213,1.054,1.0679,0,0.0047,0.3591,18.4582,0.0933,1.3431,0.1726,22.1,2.5,1.065760817,0.057174521,0,1.008586297,10377000,%
Switzerland,0.408,30.6026,0.0732,0.0052,13.2925,1.674,2.2651,0.7951,11.7127,14.1191,0.7585,0.4447,0.5964,0.1151,0.9207,0.2459,0,0.0105,0.8684,19.3974,0.0209,1.674,0,21.2,2.5,1.200521195,0.02412555,0.64628214,0.530113505,8634000,%
Taiwan*,0.2391,24.758,0.035,0.0175,12.9738,2.4082,4.5073,0.7813,14.793,2.4431,0.5598,6.0058,0.9329,0.2041,0.2391,0.3557,0.0117,0,0.5364,25.2362,0.0058,2.8571,0.0991,0,3.5,0.002329521,2.96E-05,0.002126218,0.000173655,23610000,%
Tajikistan,0.009,12.1401,0,0,28.2246,0.6499,0.0903,0.5777,5.5601,4.8921,0.9568,0.6679,1.4803,0.0903,1.2546,0.2437,0,0,0.1354,37.8554,0.009,5.0546,0.1083,12.6,0,0.114285714,0.000859052,0.104878566,0.008548096,9429000,%
Thailand,0.336,21.4555,0.0246,0.0328,19.8574,3.188,8.2855,0.9916,7.3431,2.0406,0.5491,1.9423,1.2375,1.8604,0.4507,0.3524,0,0,0.1147,28.5363,0.0164,1.3522,0.0328,10.8,7.8,0.005615174,8.87E-05,0.005305558,0.00022094,66534000,%
Timor-Leste,0.0433,13.5655,0.104,0,26.8711,0.2166,1.9491,0.2685,10.6289,0.2772,0.3812,2.157,3.6036,0.0866,1.0135,1.2474,0,0,0,36.4432,0.0087,0.9356,0.1992,2.9,24.9,0.002200303,0,0.002124431,7.59E-05,1318000,%
Togo,0.096,8.0251,0.0174,0,26.0904,0.2355,2.739,0.1221,3.9428,0.82,0.2791,1.4567,7.8768,0.1483,4.9721,0.1396,0,0,0,41.9749,0,0.8636,0.2006,7.1,16.1,0.026573258,0.000628095,0.019326006,0.006619157,8279000,%
Trinidad and Tobago,0.0945,24.9557,0.0532,0,16.7277,0.7442,4.0579,0.4725,13.5735,5.9657,0.5611,1.0514,3.2369,0.4135,1.0573,0.2008,0,0,0.2067,25.0443,0.0413,0.9864,0.5552,19.7,5.5,0.402556611,0.007669832,0.298392988,0.096493791,1369000,%
Tunisia,0.0657,14.2467,0.0909,0,25.144,1.1367,1.7834,0.8285,5.3804,5.4865,0.3688,1.1013,2.3795,0.3587,0.6366,0.4193,0,0,0.8538,35.7583,0.0657,3.8547,0.0404,27.3,4.3,0.410213517,0.006884667,0.042299933,0.361028917,11896000,%
Turkey,0.0692,17.6686,0.0395,0,20.5038,1.1558,0.6866,0.9879,7.2808,8.1403,0.3655,0.652,3.4675,0.3803,1.0768,0.5335,0,0.0049,0.8298,32.3339,0.0692,3.7145,0.0395,32.2,2.5,0.432068261,0.011702115,0.375449323,0.044916823,83737000,%
Turkmenistan,0,21.5563,0.0485,0,24.3242,1.1201,0.4685,0.4254,12.3586,7.3613,0.1992,0.1992,0.4739,0.0054,0.7485,0.2746,0,0,0.0592,28.4437,0.0162,1.8255,0.0915,17.5,5.4,0,0,0,0,6031000,%
Uganda,0.7449,10.3906,0.0382,0,13.7809,0.2388,3.2184,2.6168,3.2948,3.0465,0.5539,2.6454,14.9938,0.0478,3.7341,0.0382,0,0,0,39.6046,0,0.9932,0.0191,4.1,41,0.025016943,0.000220808,0.016070921,0.008725214,45741000,%
Ukraine,0.3075,21.693,0.0696,0,20.3469,2.4542,1.8276,0.4525,9.074,7.6004,0.6672,0.0174,0.6672,0.0348,3.336,0.2031,0,0,0.1741,28.307,0.0464,2.692,0.029,26.1,3.5,0.84667289,0.015716406,0.352434296,0.478522189,41778000,%
United Arab Emirates,0,20.4155,0.0606,0,16.2513,1.0294,2.9531,0.885,10.3405,5.4823,0.5496,0.8803,7.5411,0.5962,0.2189,0.2282,0,0,0.9875,29.5822,0.0047,1.756,0.2376,29.9,2.6,1.279637963,0.004878298,1.216312129,0.058447535,9778000,%
United Kingdom,0.4758,28.108,0.0673,0,13.8546,1.6724,2.5181,0.7256,14.5754,8.8375,0.4325,0.7353,1.0909,0.173,1.9607,0.7785,0,0.0048,0.2979,21.8944,0,1.4657,0.3316,29.5,2.5,1.305598571,0.066983323,0.003997915,1.234617332,67160000,%
United Republic of Tanzania,0.5436,7.8113,0.0084,0,19.244,0.0836,1.8567,1.4636,2.9857,2.877,0,2.9355,12.3693,0.0753,3.9977,0.0585,0,0.0084,0.092,42.1845,0,1.3883,0.0167,7.1,30.7,0.000852111,3.52E-05,0.000306358,0.000510597,59734000,%
United States of America,0.2946,32.4775,0.0264,0.0044,10.4594,2.0048,2.3873,0.5935,18.0875,9.8791,0.0879,1.2706,1.0332,0.1231,1.064,0.6331,0,0.0747,0.4924,17.5247,0.0835,1.3981,0,37.3,2.5,2.617927234,0.068276454,1.037619362,0,329878000,%
Uruguay,0.1599,26.7144,0.0178,0,16.4397,1.9187,1.5693,0.6573,11.7731,10.9203,0.5152,0.6455,1.06,0.0415,1.0897,1.6878,0,0.0059,0.0533,23.2856,0.0296,1.2496,0.1658,28.9,2.5,0.080741999,0.001500991,0.066581705,0.012659303,3531000,%
Uzbekistan,0.0588,20.0246,0.0374,0,23.3709,1.0317,0.3582,0.7698,7.1952,10.5736,0.8286,0.1336,0.0107,0.016,1.2509,0.1604,0,0,0.1657,29.9781,0.0053,3.9985,0.0321,15.3,6.3,0.191101422,0.001606484,0.182913911,0.006581027,34174000,%
Vanuatu,0.0078,19.8713,0.0863,0,14.6387,0.6119,6.8016,1.1532,9.8533,1.6082,0.91,6.6761,0.0078,0.1177,5.7347,0.0863,0,0,0.0157,30.1247,0.0078,1.5847,0.102,23.5,7.2,0,0,0,0,321000,%
Venezuela (Bolivarian Republic of),0.1955,22.5411,0.1244,0,21.6526,0.8707,2.6477,1.0662,11.8347,6.3083,0.7641,0.0444,1.9369,0,1.1195,0.3287,0,0.0178,0,27.4545,0.0533,1.0129,0.0267,25.2,21.2,0.312672369,0.002698551,0.293059871,0.016913947,28645000,%
Vietnam,0.1555,20.4466,0.1555,0.0056,18.5247,0.7665,5.7435,0.7165,11.0426,1.0887,1.6442,3.7994,0.9387,0.5221,0.2333,0.5444,0.0167,0.0056,0.3277,29.5617,0,3.7216,0.0389,2.1,9.3,0.001214024,3.64E-05,0.00109865,7.90E-05,96209000,%
Yemen,0,10.0122,0.0188,0,35.1179,0.432,0.9392,0.4884,5.9453,1.963,0.7232,0.2254,2.9398,0.0657,0.2066,0.3193,0,0,0.0188,39.9831,0,0.5448,0.0564,14.1,38.9,0.006906726,0.002008315,0.00455978,0.000338631,29826000,%
Zambia,0.4824,9.8925,0.0338,0,28.5182,0.5839,3.0126,0.0931,4.3158,1.0324,0.9139,8.0562,0.6431,0.0846,1.2863,0.0762,0,0,0,40.1117,0,0.8039,0.0592,6.5,46.7,0.087668625,0.00189295,0.082566362,0.003209312,18384000,%
Zimbabwe,0.2929,11.3443,0.0391,0,33.1934,0.5077,1.0837,0.2636,6.6582,2.4114,0.6541,1.523,1.6987,0.0488,0.5467,0.2636,0,0,0.1367,38.6508,0.0293,0.5955,0.0586,12.3,51.3,0.055681895,0.001594564,0.052459127,0.001628204,14863000,%
